City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind,Country,Date
Leh,34.1667,77.5833,25.38,25.38,55,100,2.08,IN,1635713720
Dwārka,22.2394,68.9678,79.63,79.63,53,2,6.29,IN,1635713720
Kavieng,-2.5744,150.7967,83.8,83.8,74,94,15.32,PG,1635713720
Meulaboh,4.1363,96.1285,75.42,75.42,89,100,4.36,ID,1635713721
Nouadhibou,20.931,-17.0347,73.38,73.38,68,2,10.36,MR,1635713721
Letterkenny,54.95,-7.7333,48.09,48.09,88,99,17.18,IE,1635713721
Celestún,20.8667,-90.4,79.45,79.45,55,3,10.96,MX,1635713722
Sehithwa,-20.4667,22.7167,85.5,85.5,18,1,5.75,BW,1635713722
Bethel,41.3712,-73.414,61.14,63.91,72,90,1.01,US,1635713564
Husavik,66.0449,-17.3389,33.71,33.71,99,100,21.72,IS,1635713723
Farah,32.5,62.5,53.78,53.78,38,0,4.72,AF,1635713723
Santa Fe,-31.6333,-60.7,90.0,90.75,38,99,4.0,AR,1635713519
Hambantota,6.1241,81.1185,78.13,78.13,88,48,3.69,LK,1635713723
Karratha,-20.7377,116.8463,71.58,71.58,64,0,7.38,AU,1635713569
Viedma,-40.8135,-62.9967,54.16,54.16,67,100,12.59,AR,1635713424
Caravelas,-17.7125,-39.2481,75.61,75.61,80,91,8.5,BR,1635713724
Tianpeng,30.9866,103.9393,55.87,55.87,73,83,2.8,CN,1635713724
Amboasary,-25.0333,46.3833,73.24,73.24,85,97,0.94,MG,1635713725
Fare,-16.7,-151.0167,78.35,78.35,74,96,15.97,PF,1635713725
Perth,-31.9333,115.8333,58.33,60.1,92,75,8.05,AU,1635713671
Luba,3.4568,8.5547,80.49,80.49,86,95,8.25,GQ,1635713726
West Bay,19.3667,-81.4167,82.51,84.27,67,75,1.01,KY,1635713726
Alice Springs,-23.7,133.8833,58.55,58.55,94,21,0.0,AU,1635713726
Auki,-8.7676,160.7034,79.92,79.92,83,75,4.09,SB,1635713646
Asău,46.4333,26.4,42.1,43.75,92,0,1.97,RO,1635713727
Yeppoon,-23.1333,150.7333,69.58,69.58,69,100,20.67,AU,1635713727
Povenets,62.8487,34.8262,41.11,41.11,96,100,6.4,RU,1635713728
Lagoa,39.05,-27.9833,69.58,69.58,87,100,4.99,PT,1635713657
Yangi Marg`ilon,40.4272,71.7189,43.52,44.02,70,1,4.61,UZ,1635713728
Vavoua,7.3819,-6.4778,74.32,74.32,85,65,3.18,CI,1635713728
Sergeevka,53.88,67.4158,38.95,38.95,89,100,12.41,KZ,1635713729
San Quintín,30.4833,-115.95,67.68,67.68,66,0,11.83,MX,1635713729
Klaksvík,62.2266,-6.589,41.92,41.92,64,100,3.06,FO,1635713729
Kursavka,44.4564,42.5093,45.41,45.41,94,87,10.13,RU,1635713730
Merced,37.1666,-120.7516,68.16,70.84,40,94,1.7,US,1635713492
Esperance,-33.8667,121.9,64.24,64.24,51,100,18.41,AU,1635713654
Taltal,-25.4,-70.4833,63.55,63.55,72,25,2.57,CL,1635713730
Jos,9.9167,8.9,68.56,68.56,35,97,1.92,NG,1635713656
Abonnema,4.7084,6.7931,77.2,77.2,87,25,6.33,NG,1635713731
Fortuna,40.5982,-124.1573,63.03,68.47,65,75,4.0,US,1635713731
Chui,-33.6971,-53.4616,69.04,69.04,84,45,10.02,UY,1635713732
Srednekolymsk,67.45,153.6833,-7.69,-7.69,99,97,6.87,RU,1635713732
Sistranda,63.7256,8.834,46.36,47.89,79,48,19.26,NO,1635713616
Pangnirtung,66.1451,-65.7125,28.4,28.4,100,90,0.0,CA,1635713733
Iracoubo,5.4802,-53.2011,80.15,80.15,79,63,8.93,GF,1635713733
Adrar,20.5022,-10.0711,86.63,86.63,13,98,7.78,MR,1635713733
Xuanwu,32.069,118.8138,55.35,56.8,73,96,3.31,CN,1635713734
Manacapuru,-3.2997,-60.6206,93.78,93.78,54,96,3.04,BR,1635713734
Deputatsky,69.3,139.9,-9.8,-9.8,83,100,2.21,RU,1635713734
Agüimes,27.9054,-15.4461,66.4,67.01,78,20,16.11,ES,1635713735
Kimbe,-5.5502,150.1429,79.07,79.07,85,92,3.78,PG,1635713735
Camaná,-16.6228,-72.7111,67.08,67.08,75,63,5.7,PE,1635713735
Huarmey,-10.0681,-78.1522,68.32,68.32,74,16,9.95,PE,1635713736
Gossaigaon,26.4481,89.989,63.34,63.34,76,0,3.06,IN,1635713736
Vila Franca do Campo,37.7167,-25.4333,71.2,71.2,93,99,9.64,PT,1635713737
Challans,46.8436,-1.8749,52.18,55.96,72,47,18.92,FR,1635713737
Turbat,26.0023,63.044,79.66,79.66,17,0,27.04,PK,1635713737
Chimbote,-9.0853,-78.5783,66.69,66.69,76,18,9.95,PE,1635713673
Escanaba,45.7453,-87.0646,46.27,47.93,49,75,18.41,US,1635713738
Buchanan,5.8808,-10.0467,78.76,78.76,86,91,7.0,LR,1635713738
Pangai,-19.8,-174.35,78.91,78.91,69,40,11.5,TO,1635713739
Beringovskiy,63.05,179.3167,6.4,6.4,91,97,12.88,RU,1635713739
Blairmore,49.6,-114.4353,27.82,30.38,86,0,0.0,CA,1635713739
Along,28.1667,94.7667,57.24,57.24,91,22,1.86,IN,1635713740
Vallenar,-28.5708,-70.7581,75.18,75.18,32,92,5.73,CL,1635713740
Cockburn Town,21.4612,-71.1419,84.16,84.16,65,20,0.0,TC,1635713601
Castaños,26.7833,-101.4167,84.34,84.34,47,0,8.12,MX,1635713741
Atar,20.5169,-13.0499,85.64,85.64,16,2,7.96,MR,1635713741
Bredasdorp,-34.5322,20.0403,60.12,60.12,82,100,3.44,ZA,1635713742
North Myrtle Beach,33.816,-78.68,71.42,74.28,61,0,1.99,US,1635713742
Leshukonskoye,64.8989,45.7622,31.24,31.24,85,100,7.23,RU,1635713742
Dodge City,37.7528,-100.0171,54.09,56.64,47,66,13.0,US,1635713743
Port Elizabeth,-33.918,25.5701,64.69,69.1,88,0,9.22,ZA,1635713743
Mabaruma,8.2,-59.7833,77.81,77.81,87,99,4.07,GY,1635713744
Pudozh,61.8099,36.5345,40.82,40.82,98,100,4.7,RU,1635713652
Gweru,-19.45,29.8167,69.42,69.42,60,14,9.51,ZW,1635713744
Hervey Bay,-25.2986,152.8535,72.03,72.03,65,40,18.39,AU,1635713745
Lata,40.1629,-8.3327,62.6,66.92,99,100,4.54,PT,1635713745
The Valley,18.217,-63.0578,84.29,84.34,65,20,11.5,AI,1635713592
Salaga,8.5508,-0.5188,81.03,81.03,62,29,5.1,GH,1635713746
Kachīry,53.0675,76.1036,27.72,27.72,75,100,7.58,KZ,1635713747
Byron Bay,-28.65,153.6167,61.29,66.06,58,100,7.96,AU,1635713524
Half Moon Bay,37.4636,-122.4286,63.18,69.58,70,20,3.0,US,1635713606
Siguatepeque,14.6,-87.8333,74.82,74.82,60,47,5.97,HN,1635713747
Kardamena,36.7814,27.1425,63.88,63.88,88,75,4.61,GR,1635713748
Ahipara,-35.1667,173.1667,60.37,60.37,66,65,10.87,NZ,1635713748
Lüderitz,-26.6481,15.1594,60.71,60.71,82,44,5.86,NA,1635713749
Cayenne,4.9333,-52.3333,83.08,84.24,79,20,4.0,GF,1635713749
Skellefteå,64.7507,20.9528,37.76,37.76,100,90,8.05,SE,1635713749
Chu,43.5983,73.7614,41.54,41.54,61,47,2.35,KZ,1635713750
Richards Bay,-28.783,32.0377,64.44,64.44,89,0,5.37,ZA,1635713750
Cascavel,-24.9558,-53.4553,71.13,71.13,79,16,2.04,BR,1635713750
Luganville,-15.5333,167.1667,80.96,80.96,72,11,5.88,VU,1635713751
Sivaki,52.6333,126.75,24.17,24.17,51,25,5.28,RU,1635713751
Sompeta,18.9333,84.6,76.26,76.26,85,44,5.91,IN,1635713751
Alta Floresta,-9.8756,-56.0861,84.02,84.02,84,40,3.44,BR,1635713752
Vilhena,-12.7406,-60.1458,71.82,71.82,88,75,1.14,BR,1635713752
Nong Phai,15.9903,101.0618,73.47,73.47,94,100,3.53,TH,1635713752
Whitecourt,54.1502,-115.6855,36.64,36.64,44,1,2.3,CA,1635713753
Pontes e Lacerda,-15.2261,-59.3353,86.58,86.58,52,54,4.94,BR,1635713753
Port Hedland,-20.3167,118.5667,71.65,71.65,83,6,4.61,AU,1635713753
Coquimbo,-29.9533,-71.3436,62.33,62.33,72,75,8.05,CL,1635713754
Polunochnoye,60.8697,60.4153,23.76,23.76,97,100,4.07,RU,1635713754
Aykhal,66.0,111.5,7.23,7.23,93,100,20.33,RU,1635713755
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,97.72,97.72,22,44,9.51,AR,1635713755
Hays,30.0502,-98.0336,80.62,83.43,47,0,5.99,US,1635713755
Hualmay,-11.0964,-77.6139,67.69,67.69,73,10,11.32,PE,1635713756
Radishchevo,52.85,47.8833,43.18,43.18,81,29,6.73,RU,1635713756
Ginir,7.1333,40.7,60.91,60.91,60,76,5.12,ET,1635713756
Departamento de Maldonado,-34.6667,-54.9167,67.39,67.39,87,99,9.46,UY,1635713513
Cape Canaveral,28.4058,-80.6048,74.14,77.07,57,1,9.22,US,1635713757
West Odessa,31.8424,-102.4988,69.93,75.69,32,0,11.97,US,1635713757
Standerton,-26.9337,29.2415,57.6,57.61,46,0,0.63,ZA,1635713758
Muros,42.7762,-9.0603,57.16,59.23,92,100,12.8,ES,1635713758
Torbay,47.6666,-52.7314,42.4,44.28,93,90,10.36,CA,1635713582
Bambous Virieux,-20.3428,57.7575,71.85,71.85,83,75,3.44,MU,1635713759
Laguna de Duero,41.5815,-4.7233,56.14,56.95,88,75,14.97,ES,1635713759
Ancud,-41.8697,-73.8203,72.93,72.93,60,61,8.1,CL,1635713759
Bobo-Dioulasso,11.1771,-4.2979,81.05,81.05,69,20,4.61,BF,1635713760
Toktogul,41.8708,72.9402,42.33,42.33,72,80,0.67,KG,1635713760
Marakkanam,12.2,79.95,78.67,78.67,88,100,14.94,IN,1635713761
Ponta Delgada,37.7333,-25.6667,70.52,71.51,88,40,6.91,PT,1635713761
San Jerónimo,-11.9472,-75.2829,63.09,63.09,52,75,8.46,PE,1635713762
Guadix,37.2993,-3.1392,62.29,64.45,76,77,9.19,ES,1635713762
Chumikan,54.7183,135.315,23.59,23.59,61,5,12.35,RU,1635713763
Mbini,1.574,9.6134,76.84,76.84,84,100,9.57,GQ,1635713763
Bismarck,46.8083,-100.7837,41.67,43.88,48,75,5.99,US,1635713631
Sisimiut,66.9395,-53.6735,35.26,35.26,91,83,24.85,GL,1635713764
Khanbari,27.3747,87.2039,59.61,59.61,87,88,2.57,NP,1635713764
Grand Gaube,-20.0064,57.6608,71.38,72.0,80,11,1.99,MU,1635713764
Vestmannaeyjar,63.4427,-20.2734,37.81,37.81,68,41,25.93,IS,1635713765
Khani,41.9563,42.9566,54.97,54.97,75,100,6.8,GE,1635713765
Mountain Home,43.133,-115.6912,51.51,54.93,93,20,3.44,US,1635713633
Aklavik,68.2191,-135.0107,34.63,34.63,84,100,12.73,CA,1635713766
Ostrovnoy,68.0531,39.5131,35.56,35.56,83,97,7.65,RU,1635713766
Kapoeta,4.7717,33.5903,84.27,84.27,32,79,5.37,SS,1635713767
Ketchikan,55.3422,-131.6461,47.5,47.5,62,98,2.01,US,1635713767
Karakol,42.4907,78.3936,32.86,32.86,64,99,6.35,KG,1635713767
Limoeiro do Ajuru,-1.8953,-49.3806,81.45,81.45,78,95,7.09,BR,1635713768
Otradnoye,59.7775,30.8181,45.41,47.17,85,100,7.87,RU,1635713768
Hirara,24.8,125.2833,76.77,76.77,67,45,13.82,JP,1635713768
Nome,64.5011,-165.4064,12.16,12.16,89,100,6.44,US,1635713769
Muborak,39.2553,65.1528,50.07,50.07,53,5,1.95,UZ,1635713769
Santa Catarina de Tepehuanes,25.35,-105.7333,74.16,74.16,27,10,4.76,MX,1635713769
Kautokeino,69.0125,23.0412,30.54,30.54,97,100,3.6,NO,1635713770
Shāhganj,26.05,82.6833,67.14,67.14,53,1,2.84,IN,1635713770
Bauchi,10.5,10.0,77.18,77.18,23,67,4.25,NG,1635713481
Airai,-8.9266,125.4092,59.81,59.81,82,77,2.06,TL,1635713730
Khovd,48.0056,91.6419,36.95,36.95,44,100,14.5,MN,1635713771
Benguela,-12.5763,13.4055,73.69,73.69,78,45,4.25,AO,1635713771
Kaohsiung City,22.6163,120.3133,75.09,75.15,86,40,1.01,TW,1635713757
Rawson,-43.3002,-65.1023,50.54,50.54,61,100,12.26,AR,1635713772
Rome,43.2128,-75.4557,52.23,55.26,94,90,12.66,US,1635713724
Tabou,4.423,-7.3528,77.07,77.07,89,37,8.79,CI,1635713772
Aksu,41.1231,80.2644,45.16,45.16,41,0,4.85,CN,1635713773
Kysyl-Syr,63.8986,122.7617,5.49,5.49,98,40,3.98,RU,1635713773
Nemuro,43.3236,145.575,49.84,49.84,68,10,8.01,JP,1635713773
Pisco,-13.7,-76.2167,69.85,69.85,68,0,24.16,PE,1635713726
Ambulu,-8.345,113.6058,76.26,76.26,91,100,2.64,ID,1635713774
Hampton,37.0299,-76.3452,70.05,72.03,61,20,11.5,US,1635713617
Sambava,-14.2667,50.1667,73.38,73.38,90,24,5.73,MG,1635713659
Verkhoyansk,67.5447,133.385,-4.76,-4.76,91,100,3.22,RU,1635713774
Weligama,5.9667,80.4167,77.7,77.7,86,92,3.65,LK,1635713775
Askarovo,53.3372,58.5089,41.95,41.95,75,90,13.42,RU,1635713775
Teya,60.3778,92.6267,21.92,21.92,95,100,2.46,RU,1635713776
Pringsewu,-5.3582,104.9744,74.12,74.12,95,99,1.79,ID,1635713776
Trat,12.5,102.5,79.92,83.98,92,100,2.37,TH,1635713776
Nouakchott,18.0858,-15.9785,82.33,82.33,56,100,17.45,MR,1635713777
Nantucket,41.2835,-70.0995,60.3,62.96,85,70,21.7,US,1635713778
Assiniboia,49.6334,-105.9845,37.22,37.31,44,4,13.8,CA,1635713779
Basco,20.4487,121.9702,80.71,80.71,70,100,19.24,PH,1635713779
Kualakapuas,-3.0091,114.3876,75.36,75.36,98,99,2.48,ID,1635713780
Gazli,40.1333,63.45,48.7,48.7,42,0,9.53,UZ,1635713780
Saint-Augustin,51.226,-58.6502,45.16,45.16,68,96,4.09,CA,1635713781
Mzimba,-11.9,33.6,73.02,73.02,42,6,11.56,MW,1635713781
Florina,40.782,21.4098,43.54,44.42,84,3,2.48,GR,1635713781
Rāmgarh,23.6333,85.5167,69.85,69.85,71,14,2.55,IN,1635713782
Alta Gracia,-31.6529,-64.4283,61.57,61.57,52,57,11.99,AR,1635713782
Novosokol'niki,56.3463,30.1578,42.93,42.93,81,1,8.21,RU,1635713782
Arroyo de la Encomienda,41.6096,-4.7969,56.26,57.15,88,75,14.97,ES,1635713783
Serebryansk,49.6925,83.2892,31.55,31.55,94,99,11.03,KZ,1635713783
Buraidah,26.326,43.975,73.85,73.85,29,36,9.82,SA,1635713784
Mineros,-17.1167,-63.2333,92.79,92.79,33,85,4.61,BO,1635713784
Mae Sot,16.7167,98.5667,71.98,71.98,97,99,1.9,TH,1635713784
Kibala,9.1104,18.3463,78.75,78.75,83,0,0.0,TD,1635713785
Udimskiy,61.1417,45.9144,39.31,39.31,93,100,5.1,RU,1635713785
Kavaratti,10.5669,72.642,81.16,81.16,79,100,4.63,IN,1635713786
Labuhan,-6.8844,112.2051,80.6,80.6,77,100,1.86,ID,1635713786
Turaif,31.6725,38.6637,70.05,70.05,49,75,12.66,SA,1635713787
Puerto Cabezas,14.0351,-83.3888,87.76,87.76,70,40,16.11,NI,1635713787
Muroto-misakicho,33.2833,134.15,65.93,65.93,67,63,6.46,JP,1635713787
Ozernovskiy,51.5,156.5167,33.82,33.82,61,100,27.69,RU,1635713788
Viranşehir,37.2353,39.7631,64.72,64.72,61,100,3.56,TR,1635713788
Provincia di Campobasso,41.6333,14.5833,54.97,59.16,83,100,1.21,IT,1635713790
Modakeke,7.3833,4.2667,73.47,73.47,95,68,4.18,NG,1635713791
Berezayka,57.9883,33.9036,42.51,42.51,84,21,8.86,RU,1635713791
Freeport,40.6576,-73.5832,63.59,66.02,65,75,7.0,US,1635713791
Jumla,29.2747,82.1838,41.77,41.77,55,0,4.27,NP,1635713792
Praia da Vitória,38.7333,-27.0667,70.05,70.05,88,20,3.11,PT,1635713792
Mācherla,16.4833,79.4333,74.21,74.21,89,93,3.18,IN,1635713793
Xiongyue,40.1774,122.1228,38.01,38.01,59,0,13.49,CN,1635713794
Nogliki,51.8333,143.1667,25.74,25.74,74,13,8.34,RU,1635713545
Playas,-2.6333,-80.3833,74.19,74.19,79,69,14.94,EC,1635713794
Ampanihy,-24.7,44.75,72.59,72.59,73,100,4.23,MG,1635713795
Kindu,-2.95,25.95,69.4,69.4,99,100,2.51,CD,1635713795
El Higo,21.7667,-98.4667,83.62,83.62,58,83,5.28,MX,1635713796
Baghdad,33.3406,44.4009,73.31,73.31,64,100,4.61,IQ,1635713796
Verkhnevilyuysk,63.4453,120.3167,12.22,12.22,91,70,6.67,RU,1635713648
Voh,-20.9667,164.7,76.57,76.57,57,12,5.32,NC,1635713797
San Buenaventura,27.0833,-101.5333,87.48,87.48,18,0,8.97,MX,1635713797
La Plata,-34.9215,-57.9545,64.45,69.98,80,83,15.35,AR,1635713797
Kemin,42.7846,75.6892,37.18,37.18,73,19,2.26,KG,1635713798
Iquique,-20.2208,-70.1431,66.24,66.24,69,13,6.51,CL,1635713798
Oistins,13.0667,-59.5333,82.49,82.49,74,40,16.11,BB,1635713798
Yablonovo,50.8523,37.3574,40.86,40.86,60,0,6.29,RU,1635713799
Haines Junction,60.7522,-137.5108,42.75,42.75,39,100,5.75,CA,1635713799
Teahupoo,-17.8333,-149.2667,76.96,76.96,75,70,14.61,PF,1635713799
Paita,-5.0892,-81.1144,73.96,73.96,72,37,13.8,PE,1635713800
LaBelle,26.7617,-81.4384,79.57,82.02,64,96,7.74,US,1635713800
Osorno,-40.5667,-73.15,75.51,75.51,35,0,2.3,CL,1635713501
Paso de los Toros,-32.8167,-56.5167,78.01,78.01,68,11,11.65,UY,1635713801
Waingapu,-9.6567,120.2641,79.9,79.9,84,87,3.51,ID,1635713801
Kasongo-Lunda,-6.4667,16.8167,70.14,70.14,98,100,0.78,CD,1635713801
Río Gallegos,-51.6226,-69.2181,62.65,62.65,22,0,28.77,AR,1635713802
Sos'va,59.1766,61.8558,37.74,37.74,96,100,8.75,RU,1635713802
Kalabo,-14.97,22.6814,76.46,76.46,54,84,8.43,ZM,1635713803
Kuril'sk,45.2333,147.8833,46.04,46.04,85,80,10.87,RU,1635713803
Mashhad,36.297,59.6062,46.54,46.54,57,0,4.61,IR,1635713787
Aswān,24.0934,32.907,83.98,83.98,28,100,6.51,EG,1635713654
Pakse,15.1167,105.7833,73.49,73.49,97,100,2.28,LA,1635713804
Belmonte,-15.8631,-38.8828,82.4,82.4,82,43,8.28,BR,1635713534
Panama City,8.9936,-79.5197,82.06,84.38,76,40,5.75,PA,1635713648
Bazarnyy Syzgan,53.7512,46.7535,41.88,41.88,82,11,10.42,RU,1635713804
Nungua,5.6011,-0.0771,81.01,81.01,78,20,4.61,GH,1635713805
Marathon,44.9,-89.7668,44.2,48.18,51,90,3.0,US,1635713805
Amahai,-3.3333,128.9167,78.13,78.13,83,99,3.51,ID,1635713805
Ürümqi,43.801,87.6005,41.95,41.95,65,86,6.71,CN,1635713807
Ciudad del Carmen,18.6333,-91.8333,78.85,78.85,60,15,7.99,MX,1635713751
Kota Belud,6.351,116.4305,75.06,75.06,84,94,5.91,MY,1635713808
Gazojak,41.1875,61.4036,46.4,46.4,39,0,8.03,TM,1635713808
Granadilla de Abona,28.1188,-16.576,63.84,68.45,76,0,11.5,ES,1635713809
Gunjur,13.2019,-16.7339,82.47,82.47,83,0,5.75,GM,1635713809
Broome,42.2506,-75.833,54.0,57.22,80,90,1.99,US,1635713809
Wana,32.2989,69.5725,57.38,57.38,26,0,1.39,PK,1635713810
Arinos,-15.9169,-46.1056,78.75,78.75,58,56,2.75,BR,1635713810
Santa Cruz de la Sierra,-17.8,-63.1667,89.65,90.86,51,75,13.8,BO,1635713810
Port Hardy,50.6996,-127.4199,50.18,50.18,57,1,9.22,CA,1635713811
Hearst,49.6835,-83.6665,37.65,37.65,88,100,11.43,CA,1635713811
Saqqez,36.2499,46.2735,54.86,54.86,63,43,4.63,IR,1635713812
São Geraldo do Araguaia,-6.4006,-48.555,84.11,84.11,57,94,2.55,BR,1635713595
Tilichiki,60.4667,166.1,-7.42,-7.42,97,67,11.54,RU,1635713812
Yumen,40.2833,97.2,39.96,39.96,32,5,10.6,CN,1635713812
Bulawayo,-20.15,28.5833,71.51,71.51,54,3,12.1,ZW,1635713813
Biankouma,7.7391,-7.6138,71.24,71.24,92,100,1.61,CI,1635713814
Bāglung,28.2719,83.5898,58.06,58.06,93,75,1.28,NP,1635713814
Goderich,43.7501,-81.7165,53.87,53.92,71,14,13.8,CA,1635713815
Moussoro,13.6408,16.4901,88.09,88.09,16,31,11.65,TD,1635713815
Alto Araguaia,-17.3147,-53.2153,72.36,72.36,88,94,2.06,BR,1635713816
Ust-Tsilma,65.441,52.1498,12.11,12.11,98,86,4.38,RU,1635713816
College,64.8569,-147.8028,43.09,43.09,69,100,7.31,US,1635713816
Irondequoit,43.2134,-77.5797,54.61,56.53,82,98,4.0,US,1635713817
Victor Harbor,-35.5667,138.6167,54.07,65.91,85,2,7.38,AU,1635713817
Morococha,-11.5997,-76.1411,41.56,41.56,80,96,1.16,PE,1635713817
Pechenga,69.5259,31.1703,27.46,27.46,91,17,9.06,RU,1635713819
Aita Mare,45.9667,25.55,38.7,41.18,88,0,4.85,RO,1635713819
Waiblingen,48.8324,9.3164,54.01,57.96,79,0,1.14,DE,1635713819
